"true_a_rew","true_a_pun","true_K","true_theta","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_theta","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.4496342512,0.8597063768,1.8197342214,4.0060795707,1.2743328507,-0.2824177655,0.52818713309818,0.730853670866332,1.64077417295703,2.77021283230817,1.70793123786682,1.68465077082911,2,1,1,2,4,4,4,4,4,4,4,4,4,2,3,3,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.1879046214,0.495248517,3.9474637811,1.9403984707,-1.295486563,1.6530882644,0.116765362470464,0.370490705514319,1.93617602544732,1.28994510450109,-0.940021462717995,0.146042184369692,2,2,3,1,1,1,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3
0.0042583285,0.1712048561,0.7620909193,1.0658069109,0.9798705912,0.6036241014,0.0355010004114567,0.48767303618654,1.73595155519399,0.398274525505444,0.917267724951308,2.00995630091004,2,1,1,1,1,2,4,4,4,3,3,3,4,2,4,4,4,2,4,2,2,3,4,3,2,3,3,2,3,2,4,2,2,3,3,3,3,3,3,3,4,4,1,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
0.6542780577,0.8887702553,0.6202788965,1.4248068481,1.1853070024,-1.7729911367,0.732069788383339,0.7598501889366,1.01518418720566,1.59083933070573,1.28135342288141,-3.18753995156429,2,1,1,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,1,4,4,4,4,4,4,4,1,1,1,1,3,4,3,4,4,4,4,4,4,4,4,4,4,1,4,3,3,3,3,3,1,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
0.2275819644,0.8239301412,3.505006465,3.4148220721,-0.8612827564,0.2926056633,0.804111594992006,0.941838784573523,0.254738032958157,1.45498181140389,-0.324084407578179,1.39628625531433,2,3,3,1,1,1,1,1,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,1,3,3
0.9319200524,0.35797658,1.2188029992,4.742680623,0.1848255965,0.0605544566,0.962248019558204,0.391703960346044,2.15062966459893,2.09215841875315,0.479373508811691,0.8617161441534,2,1,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.7038801048,0.280490275,4.2995306831,0.3845016544,-0.7165489758,-1.1349571993,0.943036354211418,0.218291330606466,1.88385700915427,0.176000082833679,-0.710467068001464,0.759004848528237,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,4,1,1,4,3,1,4,1,4,4,4,1,1,1,2,2,2,2,4,1,3,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,1,3,3,3,3,3,3,1,1,1,1,1,4,4,4,3,4,4
0.6224022079,0.0363440679,1.7894267159,1.0838844996,-0.9132933857,1.3968750374,0.930752114538681,0.0972356516464625,0.377998526546796,0.478036563020266,-1.95947393740412,1.63049852137527,2,1,1,1,1,3,4,4,4,4,1,1,1,1,3,3,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,2,2,2,1,2,3,1,2,2,1,1,2,1,4,1,2,2,3,1,1,4,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,4,4,3,1,1,1,1,1,1,1
0.8121783274,0.133973207,4.4724774147,3.086302212,-0.5884099337,1.6721226755,0.96000933463286,0.108869922865616,2.02162797932645,3.35791284622301,-0.612157968085084,0.514405713328237,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4
0.0339639103,0.4409121811,2.1966122509,0.9759602681,-1.2237443352,0.8176479587,0.00837982654679656,0.33146761656535,0.453503223627385,0.825991468580844,0.660387707867579,-0.819345223127089,2,1,1,1,1,1,3,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
