x,subjID,X
1,171,90
3,171,55
4,171,45
2,171,100
1,171,-190
2,171,90
3,171,5
4,171,55
4,171,60
2,171,-1370
2,171,120
4,171,40
1,171,100
2,171,130
3,171,45
4,171,55
2,171,110
1,171,-120
2,171,90
3,171,0
2,171,100
1,171,120
2,171,120
1,171,-140
2,171,-1630
3,171,45
4,171,50
3,171,10
4,171,-190
2,171,110
3,171,-10
1,171,-260
2,171,140
3,171,55
4,171,55
3,171,30
2,171,130
4,171,40
1,171,110
2,171,100
4,171,60
2,171,110
4,171,40
1,171,-220
2,171,120
4,171,45
1,171,90
2,171,120
4,171,55
2,171,140
1,171,-150
2,171,110
4,171,65
3,171,-10
4,171,70
1,171,-80
2,171,130
4,171,50
2,171,-1860
3,171,45
4,171,-205
2,171,120
4,171,60
2,171,110
4,171,55
1,171,110
4,171,65
2,171,130
3,171,45
4,171,80
1,171,-210
2,171,150
3,171,40
2,171,110
4,171,40
1,171,-20
4,171,80
2,171,150
4,171,40
2,171,120
1,181,100
1,181,120
1,181,-70
1,181,90
1,181,-190
1,181,100
1,181,-120
2,181,100
1,181,120
1,181,-140
4,181,50
1,181,-260
1,181,110
1,181,-220
2,181,80
2,181,110
2,181,120
2,181,90
2,181,100
2,181,90
2,181,120
2,181,-1140
2,181,80
2,181,110
2,181,100
2,181,90
2,181,-1370
3,181,50
3,181,60
3,181,-10
3,181,55
3,181,5
4,181,40
4,181,45
2,181,120
1,181,90
4,181,45
2,181,130
3,181,45
1,181,-150
4,181,55
4,181,60
3,181,0
2,181,110
1,181,-80
3,181,45
2,181,90
4,181,40
4,181,55
4,181,50
4,181,-190
3,181,10
2,181,100
2,181,120
1,181,110
4,181,55
2,181,-1630
3,181,-10
2,181,110
2,181,140
1,181,-210
3,181,55
3,181,30
4,181,40
4,181,60
4,181,40
4,181,45
4,181,55
4,181,65
4,181,70
2,181,130
4,181,50
4,181,-205
3,181,-10
4,181,60
4,181,55
4,181,65
4,181,80
4,181,40
4,181,80
4,181,40
4,181,65
4,181,-245
4,181,60
4,181,65
4,181,75
4,181,60
2,181,100
2,181,110
4,181,65
4,181,-250
2,181,120
2,181,120
2,181,140
4,181,85
4,181,45
4,181,55
4,181,70
4,181,55
2,181,110
4,185,50
4,185,40
3,185,50
4,185,45
1,185,100
2,185,100
1,185,120
1,185,-70
4,185,45
4,185,55
4,185,60
4,185,40
4,185,55
3,185,60
2,185,80
4,185,50
3,185,-10
4,185,-190
1,185,90
1,185,-190
4,185,55
4,185,40
3,185,55
2,185,110
4,185,60
1,185,100
4,185,40
4,185,45
3,185,5
4,185,55
1,185,-120
4,185,65
4,185,70
3,185,45
4,185,50
4,185,-205
3,185,0
1,185,120
1,185,-140
2,185,120
2,185,90
2,185,100
3,185,45
1,185,-260
2,185,90
4,185,60
3,185,10
2,185,120
1,185,110
4,185,55
3,185,-10
2,185,-1140
4,185,65
3,185,55
4,185,80
3,185,30
1,185,-220
2,185,80
3,185,-10
4,185,40
4,185,80
1,185,90
4,185,40
3,185,45
2,185,110
4,185,65
3,185,45
3,185,40
4,185,-245
3,185,25
1,185,-150
2,185,100
4,185,60
4,185,65
4,185,75
3,185,-15
4,185,60
4,185,65
4,185,-250
1,185,-80
1,185,110
1,185,-210
2,185,90
4,185,85
3,185,70
4,185,45
1,185,-20
1,185,-130
4,185,55
3,185,-10
3,185,60
4,185,70
3,185,40
3,185,55
1,185,100
4,185,55
2,185,-1370
4,185,70
4,185,80
3,185,30
2,208,100
2,208,80
2,208,110
1,208,100
1,208,120
1,208,-70
1,208,90
1,208,-190
2,208,120
4,208,50
3,208,50
3,208,60
3,208,-10
1,208,100
1,208,-120
2,208,90
2,208,100
2,208,90
2,208,120
2,208,-1140
2,208,80
1,208,120
3,208,55
3,208,5
3,208,45
3,208,0
1,208,-140
1,208,-260
2,208,110
2,208,100
2,208,90
3,208,45
3,208,10
3,208,-10
3,208,55
3,208,30
3,208,-10
3,208,45
3,208,45
3,208,40
4,208,40
4,208,45
4,208,45
4,208,55
4,208,60
4,208,40
4,208,55
4,208,50
4,208,-190
4,208,55
4,208,40
4,208,60
4,208,40
4,208,45
3,208,25
4,208,55
4,208,65
4,208,70
4,208,50
4,208,-205
4,208,60
3,208,-15
3,208,70
3,208,-10
4,208,55
4,208,65
4,208,80
4,208,40
1,208,110
2,208,-1370
3,208,60
3,208,40
3,208,55
3,208,30
2,208,120
2,208,130
3,208,15
3,208,10
3,208,55
4,208,80
3,208,40
3,208,-35
3,208,30
3,208,40
4,208,40
4,208,65
2,208,110
1,208,-220
3,208,75
3,208,30
3,208,35
4,208,-245
3,208,45
3,208,65
3,208,-20
3,208,50
3,208,-5
3,208,10
3,208,45
4,208,60
3,212,50
3,212,60
1,212,100
4,212,50
2,212,100
2,212,80
1,212,120
3,212,-10
2,212,110
4,212,40
1,212,-70
2,212,120
2,212,90
2,212,100
2,212,90
2,212,120
2,212,-1140
2,212,80
3,212,55
2,212,110
3,212,5
1,212,90
2,212,100
2,212,90
2,212,-1370
2,212,120
4,212,45
4,212,45
4,212,55
4,212,60
3,212,45
1,212,-190
2,212,130
3,212,0
4,212,40
4,212,55
4,212,50
4,212,-190
2,212,110
2,212,90
3,212,45
1,212,100
4,212,55
2,212,100
3,212,10
1,212,-120
2,212,120
4,212,40
4,212,60
4,212,40
