"true_a_rew","true_a_pun","true_K","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.8404172728,0.2850640801,4.0602785429,1.8527736601,0.0924024116,0.974513705828394,0.245224836493116,2.59835220828062,1.39255026479975,0.894482638351299,2,1,1,1,3,2,2,2,2,3,2,3,2,2,2,2,1,1,1,4,4,1,1,1,1,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,1,4,1,1,4,4,4,1,1,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3
0.5146671004,0.3453742411,1.207255333,0.5559121348,-1.6245063911,0.460284708647606,0.362345733215327,0.42089339395358,0.215190186296122,-1.14939277726306,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3
0.0071898929,0.2448539337,2.4731267595,-0.8004169928,-1.2932109225,0.0133931634041885,0.247472208923313,2.40144666673641,-0.922935058775267,0.136116758299765,2,1,2,2,3,2,1,1,4,4,2,4,4,4,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.4940132461,0.3546490064,2.235732088,-1.0840360817,1.8176807453,0.602181772174916,0.441063444675978,2.47150658300219,-1.06832663460647,2.11577532868331,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,1,3,1,4,4,4,1,1,1,3,1,3,3,3,3,3,1,1,1,1,1,3,3,3,3,1,1,1,1,1,3,1,1,1,3,1,3,3,3,4,4,1,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,1,4,4,4
0.4654183302,0.7876196298,3.809794523,-0.8533399603,0.468671988,0.609885554375691,0.588186518141639,2.50479151959476,-0.407678000836735,0.118104258943708,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,4,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3,4,4,4,4,4
0.3170356735,0.4554356108,4.423709693,-1.370523254,1.2576785705,0.257507993635059,0.596032207570154,2.58767245581128,-1.26138406794437,-0.224904051816236,2,1,2,2,2,2,2,3,2,2,1,1,1,2,2,3,3,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,3,1,1,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,1,3,3,4,1,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
0.499915087,0.0168661296,1.6955804291,-0.5141353097,1.141257119,0.922975769143984,0.00678308664771001,1.64441176311389,-0.907715706976317,1.2230121257775,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2
0.6560248386,0.2296253207,4.678088903,-1.6110735128,-0.3611823051,0.454446787231119,0.223291674416416,2.08611044083395,-2.07914560990049,-0.31037635850814,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,4,4,4,4,1,1,1,2,2,2,1,2,1,4,4,4,4,3,3,3,3,1,1,1,3,3,3,3,3,3,1,1,1,1,4,3,3,1,1,1,1,1,1,1,1,1,1,2,3,3,3,1,1,4,4,4,3,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1
0.121295394,0.3126816177,1.3366545774,1.0423560721,1.493302677,0.0478770214009784,0.36146089875449,2.70827943905262,1.53594354490352,1.69528054959188,2,2,3,3,2,3,2,1,1,2,3,2,4,4,4,4,3,4,4,2,2,2,4,4,3,1,4,4,2,2,2,3,3,2,2,3,3,2,3,1,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3
0.1438893631,0.9740561796,1.2174108099,-0.7193076829,1.9666279469,0.0328205245968035,0.922578603877205,2.16912103186191,-0.699990603469121,2.04569764504887,2,1,4,3,2,2,2,4,4,4,4,3,3,3,2,4,2,1,4,2,2,1,4,2,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
